Id,UpperDepth,LowerDepth,Value,Lambda,tsme
11627,60,100,-9999,0.1,26.038515865143
11627,100,200,-9999,0.1,26.038515865143
11628,0,5,28.974609375,0.1,0.0333404541015613
11628,5,15,32.90771484375,0.1,0.0333404541015613
11628,15,30,42.8173828125,0.1,0.0333404541015613
11628,30,60,-9999,0.1,0.0333404541015613
11628,60,100,-9999,0.1,0.0333404541015613
11628,100,200,-9999,0.1,0.0333404541015613
11629,0,5,62.978841522873,0.1,0.0374397439638768
11629,5,15,63.0880925057304,0.1,0.0374397439638768
11629,15,30,63.0121486860427,0.1,0.0374397439638768
11629,30,60,56.5076903879567,0.1,0.0374397439638768
11629,60,100,55.3838087047225,0.1,0.0374397439638768
11629,100,200,51.313071393632,0.1,0.0374397439638768
11630,0,5,15.7126499931932,0.1,7.59872233058946
11630,5,15,14.6412585814582,0.1,7.59872233058946
11630,15,30,24.3465503996577,0.1,7.59872233058946
11630,30,60,-9999,0.1,7.59872233058946
11630,60,100,-9999,0.1,7.59872233058946
11630,100,200,-9999,0.1,7.59872233058946
11631,0,5,23.5599519433408,0.1,1.170746438675
11631,5,15,28.8012564166145,0.1,1.170746438675
11631,15,30,60.3305649346854,0.1,1.170746438675
11631,30,60,59.6175417620677,0.1,1.170746438675
11631,60,100,-9999,0.1,1.170746438675
11631,100,200,-9999,0.1,1.170746438675
11632,0,5,13.774747332215,0.1,12.1295204678788
11632,5,15,15.2867558647216,0.1,12.1295204678788
11632,15,30,25.732349687928,0.1,12.1295204678788
11632,30,60,34.3571106680749,0.1,12.1295204678788
11632,60,100,36.6370340265734,0.1,12.1295204678788
11632,100,200,41.8968193965351,0.1,12.1295204678788
11633,0,5,35.8443396226415,0.1,0.0416073335706643
11633,5,15,40.1285377358491,0.1,0.0416073335706643
11633,15,30,44.9080188679245,0.1,0.0416073335706643
11633,30,60,-9999,0.1,0.0416073335706643
11633,60,100,-9999,0.1,0.0416073335706643
11633,100,200,-9999,0.1,0.0416073335706643
11634,0,5,34.0914290723931,0.1,0.0377444716209147
11634,5,15,37.9031680421189,0.1,0.0377444716209147
11634,15,30,47.7103754830669,0.1,0.0377444716209147
11634,30,60,54.9435253042936,0.1,0.0377444716209147
11634,60,100,-9999,0.1,0.0377444716209147
11634,100,200,-9999,0.1,0.0377444716209147
11635,0,5,53.6107774410969,0.1,0.0210996586773526
11635,5,15,55.6205131538945,0.1,0.0210996586773526
11635,15,30,60.7377678978317,0.1,0.0210996586773526
11635,30,60,63.4970899230884,0.1,0.0210996586773526
11635,60,100,62.4659428986425,0.1,0.0210996586773526
11635,100,200,61.1667882792375,0.1,0.0210996586773526
12061,0,5,17.6793586455219,0.1,7.79896507323557
12061,5,15,16.4171366041969,0.1,7.79896507323557
12061,15,30,23.2583134855512,0.1,7.79896507323557
12061,30,60,36.7683867524993,0.1,7.79896507323557
12061,60,100,34.9001618433664,0.1,7.79896507323557
12061,100,200,-9999,0.1,7.79896507323557
12062,0,5,16.0191303457499,0.1,29.8342730733444
12062,5,15,14.7095449259977,0.1,29.8342730733444
12062,15,30,36.039740883617,0.1,29.8342730733444
12062,30,60,39.5595353807871,0.1,29.8342730733444
12062,60,100,26.7860484487579,0.1,29.8342730733444
12062,100,200,-9999,0.1,29.8342730733444
13113,0,5,10.9864859715364,0.1,3.12918266163978
13113,5,15,11.0771988875984,0.1,3.12918266163978
13113,15,30,11.9264798135545,0.1,3.12918266163978
13113,30,60,20.7937943821374,0.1,3.12918266163978
13113,60,100,25.6090034721567,0.1,3.12918266163978
13113,100,200,40.4632248863856,0.1,3.12918266163978
13116,0,5,9.10666774279646,0.1,25.8709044342118
13116,5,15,8.39066051927525,0.1,25.8709044342118
13116,15,30,8.437686965546,0.1,25.8709044342118
13116,30,60,33.5447627359274,0.1,25.8709044342118
13116,60,100,30.9596898937573,0.1,25.8709044342118
13116,100,200,26.5077318003572,0.1,25.8709044342118
13119,0,5,61.0054406239063,0.1,0.012538001493156
13119,5,15,60.9773481716209,0.1,0.012538001493156
13119,15,30,60.9968761252846,0.1,0.012538001493156
13119,30,60,62.8439262674977,0.1,0.012538001493156
13119,60,100,70.6374841550166,0.1,0.012538001493156
13119,100,200,72.2511895681976,0.1,0.012538001493156
13123,0,5,39.979665325749,0.1,0.0613808334296585
13123,5,15,40.0846626341413,0.1,0.0613808334296585
13123,15,30,40.8259613926331,0.1,0.0613808334296585
13123,30,60,50.0254165008788,0.1,0.0613808334296585
13123,60,100,55.5557663460309,0.1,0.0613808334296585
13123,100,200,43.9341684294285,0.1,0.0613808334296585
13124,0,5,41.1566637455112,0.1,0.348366947009397
13124,5,15,46.8175583537671,0.1,0.348366947009397
13124,15,30,61.1290273845528,0.1,0.348366947009397
13124,30,60,58.9270004163726,0.1,0.348366947009397
13124,60,100,31.3486665392736,0.1,0.348366947009397
